stopCode,stopTimeSchedule,stopTimeReal,date,routeCode,tripId,vehicleId,passengerCountStopUp,passengerCountStopDown
RIVE03,2012-10-01 05:25:00,2012-10-01 05:30:37,2012-10-01 00:00:00,E,27098313,101,10,8
VOLL02,2012-10-01 05:26:21,2012-10-01 05:32:46,2012-10-01 00:00:00,E,27098313,101,0,0
PLGE01,2012-10-01 05:29:00,2012-10-01 05:34:37,2012-10-01 00:00:00,E,27098313,101,0,0
CRIG00,2012-10-01 05:29:50,2012-10-01 05:35:42,2012-10-01 00:00:00,E,27098313,101,0,0
MGRE00,2012-10-01 05:30:40,2012-10-01 05:36:22,2012-10-01 00:00:00,E,27098313,101,0,0
TCRE00,2012-10-01 05:31:15,2012-10-01 05:36:51,2012-10-01 00:00:00,E,27098313,101,0,0
RUTH00,2012-10-01 05:31:41,2012-10-01 05:37:12,2012-10-01 00:00:00,E,27098313,101,0,0
BOIS00,2012-10-01 05:32:39,2012-10-01 05:38:02,2012-10-01 00:00:00,E,27098313,101,0,0
BLTE00,2012-10-01 05:33:07,2012-10-01 05:38:26,2012-10-01 00:00:00,E,27098313,101,0,0
VSNA00,2012-10-01 05:33:40,2012-10-01 05:39:40,2012-10-01 00:00:00,E,27098313,101,0,2
